participant_id	study	ses_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
sub-A00055906	NKI	ses-BAS1	-76	1	1	1	1	1	1	Pass
sub-A00055908	NKI	ses-BAS1	-80	1	1	1	1	1	1	Pass
sub-A00055962	NKI	ses-BAS1	-44	1	1	1	1	1	1	Pass
sub-A00056164	NKI	ses-BAS1	-53	1	1	1	0.75	0.75	0.9	Artifact
sub-A00056307	NKI	ses-TRT	-121	1	1	1	1	1	1	Pass
sub-A00056419	NKI	ses-FLU2	-400	0	0.25	0	0	0	0.05	Artifact
sub-A00056489	NKI	ses-BAS1	-81	1	1	1	1	1	1	Pass
sub-A00057183	NKI	ses-BAS1	-62	1	1	1	1	1	1	Pass
sub-A00057203	NKI	ses-BAS1	-69	1	1	1	1	1	1	Pass
sub-A00057405	NKI	ses-FLU1	-67	1	1	1	1	1	1	Pass
sub-A00057405	NKI	ses-FLU2	-40	1	1	1	1	1	1	Pass
sub-A00057445	NKI	ses-BAS2	-38	1	1	1	1	1	1	Pass
sub-A00057725	NKI	ses-FLU1	-83	1	1	1	1	1	1	Pass
sub-A00057725	NKI	ses-FLU2	-66	1	1	1	1	1	1	Pass
sub-A00057862	NKI	ses-BAS1	-58	1	1	1	1	1	1	Pass
sub-A00057863	NKI	ses-BAS1	-811	0	0	0	0	0	0	Fail
sub-A00057965	NKI	ses-BAS1	-157	1	1	1	1	1	1	Pass
sub-A00058004	NKI	ses-FLU2	-101	1	1	1	1	1	1	Pass
sub-A00058053	NKI	ses-FLU1	-57	1	1	1	1	1	1	Pass
sub-A00058214	NKI	ses-BAS1	-31	1	1	1	1	1	1	Pass
sub-A00058503	NKI	ses-FLU2	-47	1	1	1	1	1	1	Pass
sub-A00058516	NKI	ses-TRT	-254	0.25	0	1	0	0.75	0.4	Artifact
sub-A00058537	NKI	ses-BAS1	-60	1	1	1	1	1	1	Pass
sub-A00058621	NKI	ses-BAS1	-29	1	1	1	1	1	1	Pass
sub-A00058951	NKI	ses-BAS1	-96	1	1	1	1	1	1	Pass
sub-A00058998	NKI	ses-BAS1	-48	1	1	1	1	0.75	0.95	Artifact
sub-A00059074	NKI	ses-BAS1	-37	1	1	1	1	1	1	Pass
sub-A00059327	NKI	ses-BAS1	-80	1	1	1	1	1	1	Pass
sub-A00059327	NKI	ses-FLU1	-53	1	1	1	1	1	1	Pass
sub-A00059427	NKI	ses-BAS1	-173	0.75	0.25	1	0.5	1	0.7	Artifact
sub-A00059865	NKI	ses-BAS1	-85	1	1	1	1	1	1	Pass
sub-A00059865	NKI	ses-FLU2	-310	0	0	0	0	0	0	Fail
sub-A00060100	NKI	ses-TRT	-56	1	1	1	1	1	1	Pass
sub-A00060493	NKI	ses-FLU1	-83	1	0.75	0.75	0.75	1	0.85	Artifact
sub-A00060493	NKI	ses-FLU2	-114	1	0	1	0.25	1	0.65	Artifact
sub-A00060602	NKI	ses-BAS1	-117	1	1	1	1	0.75	0.95	Artifact
sub-A00060603	NKI	ses-TRT	-75	1	1	1	1	1	1	Pass
sub-A00060846	NKI	ses-TRT	-55	1	1	1	1	1	1	Pass
sub-A00061274	NKI	ses-BAS1	-27	1	1	1	1	1	1	Pass
sub-A00061298	NKI	ses-TRT	-58	1	1	1	1	1	1	Pass
sub-A00061634	NKI	ses-BAS1	-49	1	1	1	0.75	1	0.95	Artifact
sub-A00061656	NKI	ses-FLU1	-100	1	1	1	0.75	1	0.95	Artifact
sub-A00061714	NKI	ses-TRT	-81	1	1	1	1	1	1	Pass
sub-A00061715	NKI	ses-FLU1	-68	1	1	1	1	1	1	Pass
sub-A00061715	NKI	ses-TRT	-79	1	1	1	1	1	1	Pass
sub-A00061882	NKI	ses-BAS1	-27	1	1	1	1	1	1	Pass
sub-A00061883	NKI	ses-TRT	-41	1	1	1	1	1	1	Pass
sub-A00061962	NKI	ses-FLU1	-57	1	1	1	1	1	1	Pass
sub-A00062210	NKI	ses-BAS1	-54	1	1	1	1	1	1	Pass
sub-A00062282	NKI	ses-BAS1	-72	1	1	1	1	1	1	Pass
sub-A00062282	NKI	ses-FLU1	-66	1	1	1	1	1	1	Pass
sub-A00062285	NKI	ses-BAS2	-55	1	1	1	1	1	1	Pass
sub-A00062797	NKI	ses-FLU2	-48	1	1	1	1	1	1	Pass
sub-A00062797	NKI	ses-TRT	-85	0.75	0.5	1	1	1	0.85	Artifact
sub-A00063031	NKI	ses-BAS1	-42	1	1	1	1	1	1	Pass
sub-A00063329	NKI	ses-FLU2	-562	0	0	0	0	0	0	Fail
sub-A00063424	NKI	ses-BAS2	-23	1	0.75	1	1	1	0.95	Artifact
sub-A00064053	NKI	ses-BAS1	-71	1	1	1	1	1	1	Pass
sub-A00064058	NKI	ses-FLU2	-62	1	1	1	1	1	1	Pass
sub-A00064503	NKI	ses-FLU1	-107	1	1	1	1	1	1	Pass
sub-A00064505	NKI	ses-BAS1	-105	1	1	1	1	1	1	Pass
sub-A00064596	NKI	ses-TRT	-90	1	1	1	1	1	1	Pass
sub-A00065178	NKI	ses-FLU2	-245	0.25	0	0.25	0.5	0	0.2	Artifact
sub-A00065480	NKI	ses-BAS1	-71	1	1	1	1	1	1	Pass
sub-A00065572	NKI	ses-FLU2	-126	0.5	0.75	0.75	0.75	0.5	0.65	Artifact
sub-A00065792	NKI	ses-FLU1	-39	1	1	1	1	1	1	Pass
sub-A00065962	NKI	ses-BAS1	-31	1	1	1	1	1	1	Pass
sub-A00065975	NKI	ses-FLU2	-30	1	1	1	1	1	1	Pass
sub-A00065978	NKI	ses-FLU2	-115	1	1	1	1	1	1	Pass
sub-A00066237	NKI	ses-BAS1	-49	1	1	1	1	1	1	Pass
sub-A00066245	NKI	ses-FLU2	-69	1	1	1	1	0.5	0.9	Artifact
sub-A00066314	NKI	ses-FLU1	-45	1	1	1	1	1	1	Pass
sub-A00066389	NKI	ses-FLU2	-73	1	1	1	1	1	1	Pass
sub-A00066573	NKI	ses-BAS1	-134	1	1	1	1	1	1	Pass
sub-A00066788	NKI	ses-BAS1	-360	0	0	0	0	0	0	Fail
sub-A00066860	NKI	ses-FLU1	-461	0	0	0	0	0	0	Fail
sub-A00066860	NKI	ses-FLU2	-93	1	1	1	1	1	1	Pass
sub-A00073230	NKI	ses-BAS1	-46	1	1	1	1	1	1	Pass
sub-A00073303	NKI	ses-BAS1	-70	1	1	1	1	1	1	Pass
sub-A00073539	NKI	ses-FLU1	-22	1	1	1	1	1	1	Pass
sub-A00073545	NKI	ses-FLU1	-221	0	0	0	0	0	0	Fail
sub-A00073942	NKI	ses-BAS1	-89	0.75	0.75	1	0.5	0.75	0.75	Artifact
sub-A00074095	NKI	ses-BAS1	-51	0.75	1	1	1	1	0.95	Artifact
sub-A00074113	NKI	ses-BAS1	-64	1	1	1	1	1	1	Pass
sub-A00074447	NKI	ses-TRT	-70	1	1	1	1	1	1	Pass
sub-A00074641	NKI	ses-BAS1	-39	1	1	1	1	1	1	Pass
sub-A00074784	NKI	ses-BAS1	-56	1	1	1	1	1	1	Pass
sub-A00074959	NKI	ses-BAS1	-74	1	1	1	0.75	1	0.95	Artifact
sub-A00074985	NKI	ses-BAS1	-43	1	1	1	1	1	1	Pass
sub-A00075210	NKI	ses-BAS1	-63	1	1	1	1	0.5	0.9	Artifact
sub-A00075432	NKI	ses-BAS1	-39	1	1	1	1	1	1	Pass
sub-A00075678	NKI	ses-BAS1	-50	1	1	1	1	1	1	Pass
sub-A00075732	NKI	ses-FLU2	-35	1	1	1	1	1	1	Pass
sub-A00075735	NKI	ses-BAS1	-28	1	1	1	1	1	1	Pass
sub-A00075744	NKI	ses-BAS1	-77	1	1	1	1	1	1	Pass
sub-A00075806	NKI	ses-BAS1	-48	1	1	1	1	1	1	Pass
sub-A00075896	NKI	ses-BAS1	-102	1	1	1	1	1	1	Pass
sub-A00076594	NKI	ses-BAS1	-42	1	1	1	1	1	1	Pass
sub-A00076746	NKI	ses-FLU2	-92	1	1	1	1	1	1	Pass
sub-A00077091	NKI	ses-BAS1	-32	1	1	1	1	1	1	Pass
sub-A00077099	NKI	ses-FLU2	-112	1	1	1	1	1	1	Pass
sub-A00077109	NKI	ses-BAS1	-52	1	1	1	1	1	1	Pass
sub-A00077183	NKI	ses-BAS1	-145	1	1	0.75	1	1	0.95	Artifact
sub-A00077203	NKI	ses-TRT	-42	1	1	1	1	1	1	Pass
sub-A00077204	NKI	ses-BAS1	-79	1	1	1	1	1	1	Pass
sub-A00077304	NKI	ses-BAS1	-43	1	1	1	0.75	1	0.95	Artifact
sub-A00077413	NKI	ses-FLU1	-17	1	1	1	1	1	1	Pass
sub-A00077556	NKI	ses-FLU1	-49	1	1	1	0.75	0.75	0.9	Artifact
sub-A00077574	NKI	ses-TRT	-129	0.75	0.25	1	0.25	0.25	0.5	Artifact
sub-A00077668	NKI	ses-TRT	-77	1	1	1	1	1	1	Pass
sub-A00077733	NKI	ses-BAS1	-36	1	1	1	1	1	1	Pass
sub-A00078239	NKI	ses-FLU1	-87	1	1	1	1	1	1	Pass
sub-A00078262	NKI	ses-BAS1	-43	1	1	1	1	1	1	Pass
sub-A00080327	NKI	ses-FLU1	-329	0	0	0.25	0	0	0.05	Artifact
sub-A00081065	NKI	ses-FLU1	-61	1	1	1	1	1	1	Pass
sub-A00081724	NKI	ses-BAS1	-62	1	1	1	1	1	1	Pass
sub-A00081735	NKI	ses-FLU1	-142	1	1	1	0.75	0.75	0.9	Artifact
sub-A00081777	NKI	ses-BAS1	-123	1	1	1	0.75	0.75	0.9	Artifact
sub-A00082215	NKI	ses-BAS1	-46	1	1	1	1	1	1	Pass
sub-A00082635	NKI	ses-BAS1	-47	1	1	1	1	1	1	Pass
sub-A00082666	NKI	ses-FLU1	-36	0.75	1	1	1	0.75	0.9	Artifact
sub-A00082804	NKI	ses-FLU1	-99	1	1	1	1	1	1	Pass
sub-A00082808	NKI	ses-FLU1	-234	0	0	0.5	0	0.25	0.15	Artifact
sub-A00083138	NKI	ses-FLU1	-56	1	1	1	1	1	1	Pass
sub-A00083207	NKI	ses-BAS1	-68	1	1	1	1	1	1	Pass
sub-A00083389	NKI	ses-FLU1	-87	0.75	1	1	0.75	0.75	0.85	Artifact
sub-A00083574	NKI	ses-BAS1	-38	1	1	1	1	1	1	Pass
sub-A00083745	NKI	ses-FLU1	-95	1	1	1	1	1	1	Pass
sub-A00083949	NKI	ses-BAS1	-50	1	1	1	1	1	1	Pass
sub-A00083950	NKI	ses-FLU1	-288	0	0	0	0	0	0	Fail
sub-A00083983	NKI	ses-BAS1	-104	1	1	1	1	1	1	Pass
sub-A00084956	NKI	ses-BAS1	-45	1	1	1	1	1	1	Pass
sub-A00085001	NKI	ses-FLU1	-148	0.75	0.75	1	1	0.5	0.8	Artifact
sub-A00085066	NKI	ses-FLU1	-116	0.75	0.75	1	0.75	0.5	0.75	Artifact
sub-A00085391	NKI	ses-BAS1	-64	1	1	1	1	1	1	Pass
sub-A00085864	NKI	ses-BAS1	-41	1	1	1	1	1	1	Pass
sub-A00085866	NKI	ses-FLU1	-44	1	1	1	1	1	1	Pass
sub-A00086169	NKI	ses-BAS1	-34	1	0.75	1	1	1	0.95	Artifact
sub-A00086474	NKI	ses-BAS1	-33	1	1	1	1	1	1	Pass
