Notes	ManualCheck	MergeInto	RenameKeyGroup	KeyParamGroup	KeyGroup	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	FlipAngle	HasFieldmap	KeyGroupCount	Modality	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PartialFourier	PhaseEncodingDirection	RepetitionTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirectionObliquity_datatype-anat_session-FLU1_suffix-T1w__1	acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirectionObliquity_datatype-anat_session-FLU1_suffix-T1w	1	5	176	256	256	0.00252	9	False	5	anat	0	1.0	True			i-	1.9	False	1.0000038146972656	0.9765625596046448	0.9765625
				acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirectionObliquity_datatype-anat_session-FLU2_suffix-T1w__1	acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirectionObliquity_datatype-anat_session-FLU2_suffix-T1w	1	4	176	256	256	0.00252	9	False	4	anat	0	1.0	True			i-	1.9	False	1.0000033378601074	0.9765625	0.9765623807907104
				acquisition-VARIANTEchoTimeDim1SizeDim2SizeDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_session-BAS1_suffix-T2w__1	acquisition-VARIANTEchoTimeDim1SizeDim2SizeDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_session-BAS1_suffix-T2w	1	3	256	320	320	0.564	120	False	3	anat	0	1.0	False	2.0	1.0		3.2	False	0.7000045776367188	0.699999988079071	0.699999988079071
				acquisition-VARIANTObliquity_datatype-anat_session-FLU2_suffix-T1w__1	acquisition-VARIANTObliquity_datatype-anat_session-FLU2_suffix-T1w	1	3	176	256	256	0.00252	9	False	3	anat	0	1.0	True	2.0	1.0		1.9	False	1.0000050067901611	0.9765623807907104	0.9765624403953552
				acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_session-FLU3_suffix-T2w__1	acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_session-FLU3_suffix-T2w	1	2	176	256	256	0.306	120	False	2	anat	0	1.0	False			i-	3.2	False	1.0	1.0	1.0
				acquisition-VARIANTDim1Size_datatype-anat_session-BAS2_suffix-T1w__1	acquisition-VARIANTDim1Size_datatype-anat_session-BAS2_suffix-T1w	1	1	177	256	256	0.00252	9	False	1	anat	0	1.0	False	2.0	1.0		1.9	False	1.0	0.9765625	0.9765625
				acquisition-VARIANTEchoTimeDim1SizeDim2SizeDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_session-FLU1_suffix-T2w__1	acquisition-VARIANTEchoTimeDim1SizeDim2SizeDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_session-FLU1_suffix-T2w	1	1	256	320	320	0.564	120	False	1	anat	0	1.0	False	2.0	1.0		3.2	False	0.7000045776367188	0.699999988079071	0.699999988079071
				acquisition-VARIANTEchoTimeDim1SizeDim2SizeDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_session-TRT_suffix-T2w__1	acquisition-VARIANTEchoTimeDim1SizeDim2SizeDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_session-TRT_suffix-T2w	1	1	256	320	320	0.564	120	False	1	anat	0	1.0	False	2.0	1.0		3.2	False	0.7000045776367188	0.699999988079071	0.699999988079071
				acquisition-VARIANTObliquity_datatype-anat_session-TRT_suffix-T1w__1	acquisition-VARIANTObliquity_datatype-anat_session-TRT_suffix-T1w	1	1	176	256	256	0.00252	9	False	1	anat	0	1.0	True	2.0	1.0		1.9	False	0.9999959468841553	0.9765625596046448	0.9765625
				acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_session-BAS2_suffix-T1w__1	acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_session-BAS2_suffix-T1w	1	1	176	256	256	0.00252	9	False	1	anat	0	1.0	False			i-	1.9	False	1.0	0.9765625	0.9765625
				acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_session-TRT_suffix-T2w__1	acquisition-VARIANTParallelReductionFactorInPlanePartialFourierPhaseEncodingDirection_datatype-anat_session-TRT_suffix-T2w	1	1	176	256	256	0.306	120	False	1	anat	0	1.0	False			i-	3.2	False	1.0	1.0	1.0
				datatype-anat_session-BAS3_suffix-T1w__1	datatype-anat_session-BAS3_suffix-T1w	1	1	176	256	256	0.00252	9	False	1	anat	0	1.0	False	2.0	1.0		1.9	False	1.0	0.9765625	0.9765625
				datatype-anat_session-BAS3_suffix-T2w__1	datatype-anat_session-BAS3_suffix-T2w	1	1	176	256	256	0.306	120	False	1	anat	0	1.0	False	2.0	1.0		3.2	False	1.0	1.0	1.0
